person_id,company_number,role,appointed_on,resigned_on,source_link
3f6171179b0ff4e2e48d20c7f887ec12ae4cdc07,08341968,director,2026-01-06,,/company/08341968/appointments/Tbb8RLUlhIdzvSeArlBVr5Yb7IA
41b1d168ab30f1b659d984ade20504ed442826ca,08341968,director,2012-12-27,,/company/08341968/appointments/B0mjHSwRlGCVbh27eZ_eP_YWpTQ
99df816265bc73207c0cde41b9042236e86e09a8,08341968,director,2020-09-09,,/company/08341968/appointments/qiR0kS_z8NJXrQBQPhy-KPjcQYM
38c150432c15d11dd30d30493ea86d492677f5f3,08341968,director,2012-12-27,,/company/08341968/appointments/A1cOFj6-_LdbC7FcN1oMa5n_1as
